1;00005;105 52;ATHINAIKON;HOTEL;D;1;E'CLASS;31;53;Efstathia Kavadias;Athens;40 Evripidou;105 52 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;;;;;;;;;grhotels@otenet.gr;;;;;;;;;;;Jan-Dec;;;;30kms;;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
2;00019;104 37;APOLLONION;HOTEL;C;2;2**;24;35;Sp.Pothos;Athens;1 Leonidou;104 37 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-05224298;;;;21-05227787;;;;info@hotelapollonio.com;www.hotelapollonio.com;;;40,00 & 45,00;;60;;;;;Jan-Dec;5kms;5kms;;32kms;;T;F;F;T;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;T;F;F;F;F;F;F
3;00020;104 31;ARGOLIS;HOTEL;D;1;1*;17;31;Ger.Mouzakis;Athens;12 Pireos;104 31 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-05222693;;;;;;;;;;;25;;45;;;;;;Jan-Dec;;;;;;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
4;00028;114 72;ATTIKI;HOTEL;D;1;1*;17;36;Evans Monoprossopi Ltd;Athens;37 Tsimiski;114 72 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-03626206;;;;21-09911544;;;;;www.attikihotel.gr;;;45;;50,00 - 80,00;;;;;Jan-Dec;;;;30kms;;T;F;F;T;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;T;F;F;F;T;F;T;F;T;F;F;F;F
5;00030;105 52;BALKANIA;HOTEL;D;1;D'CLASS;22;51;A.Mentakos-P.Stergiou Co;Athens;12 Sokratous;105 52 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-05227628;;;;;;;;;;;;;;;;;;;Jan-Dec;;;;30kms;;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
6;00032;105 64;KING GEORGE;HOTEL;L;5;5*****;101;210;King George Hotel,Tourist (S.A.);Athens;3,Vassileos Georgiou A';105 64 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-03222210;;;;21-03250504;;;;info@kinggeorge.gr;www.grecotel.gr;;;;;640,00 - 990,00;1100,00 - 5200,00;;25,00 & 32,00;60;Jan-Dec;10kms;20kms;;30kms;1,50kms;T;F;T;T;F;F;F;T;F;F;T;F;T;T;F;T;T;F;F;F;T;F;F;T;F;T;F;F;F;F;F;F;F;F;F;F;F;T;F;F;F;T;T;T;F;F;T;T;T;T;F;T;F;T;T;T
7;00033;105 52;VASSILIKON;HOTEL;D;1;E'CLASS;16;36;Evridiki Sotiropoulos;Athens;5 Iktinou;105 52 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-05228133;5247750;;;;;;;;;;;24;;30;;;;;Jan-Dec;;;;30kms;;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
8;00043;104 31;DELPHI ART HOTEL;TRADITIONAL HOTEL;B;3;B'CLASS;43;95;Kaleo Ltd;Athens;27,Aghiou Konstantinou;104 31 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-05244004;5239503;;;21-05239564;;;;sales@delphiarthotel.com;www.delphiarthotel.com;;;130,00 & 160,00;;140,00 & 190,00;210,00 - 400,00;;10;18;Jan-Dec;6kms;7kms;;25kms;300m;T;F;T;T;F;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;T;T;T;F;F;T;T;T;T;F;F;F;F;F;T
9;00047;104 38;DODONI;HOTEL;D;1;1*;19;40;Th.Moutafis-Th.Karayannis Co;Athens;17 Mager;104 38 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-05235472;;;;;;;;;;;;;40;;;;;;Jan-Dec;5kms;10kms;;30kms;300m;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
10;00048;105 54;FIVOS;HOTEL;B;3;3***;20;33;Th.Konsolas & Son Ltd;Athens;23 Athinas;105 54 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-03226657;3244282;;;21-03219991;;;;;www.consolas.gr;;;20,00 & 24,00;;24,00 & 30,00;45,00 & 50,00;;5;;Jan-Dec;;;;30kms;;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
11;00050;104 31;HELICON;HOTEL;C;2;2**;24;51;G.Politis;Athens;3 Dorou;104 31 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-05221695;5228428;;;2226-023572;;;;;;;;;50;;;;;;Jan-Dec;;;;30kms;;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
12;00061;104 32;ETOILE;HOTEL;D;1;D'CLASS;15;26;Nektarios Armatas;Athens;32 Tritis Septemvriou;104 32 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-05222156;;;;;;;;;;;;;;;;;;;Jan-Dec;;;;30kms;;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
13;00063;104 31;EUROPA;HOTEL;C;2;2**;37;67;Angeliki Balodimos;Athens;7 Satovriandou;104 31 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-05223081;5229031;;;;;;;;;;;30;;50,00 & 60,00;;;;;Jan-Dec;15kms;8kms;;30kms;650m;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
14;00064;104 37;EPHESSOS;HOTEL;D;1;1*;13;30;Efst.Makris-P.Mouhlianitis & Co;Athens;30 Agiou Konstandinou;104 37 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-05223508;;;;21-05248333;;;;;;;;;35;;;;;;Jan-Dec;;;;30kms;;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F
15;00066;104 32;ZENITH;HOTEL;D;1;1*;29;54;Dim.Paleoxaris & Co;Athens;13 Xouthou;104 32 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-05245000;5240530;;;21-05245000;;;;info@hotelzenith.gr;www.hotelzenith.gr;;;40,00 & 45,00;;60;;;;;Jan-Dec;;10kms;;30kms;200m;T;F;F;T;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;T;F;F;F;F;F;F
16;00067;104 32;ART HOTEL ATHENS;TRADITIONAL HOTEL;A;4;A'CLASS;30;60;Stefan (S.A.);Athens;18 Aristotelous;104 32 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-05240501;;;;21-05243384;;;;info@arthotelathens.gr;www.arthotelathens.gr;;;150,00 & 200,00;;180,00 - 290,00;;;12;16;Jan-Dec;;;;30kms;;T;F;T;T;F;F;F;F;F;F;T;F;F;T;F;T;F;F;F;F;F;F;F;T;F;T;T;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
17;00086;105 52;KOSMIKON;HOTEL;D;1;1*;17;31;Ch.Peppas & Son Co;Athens;7 Sokratous;105 52 Athens;ATTICA - ATHENS;CENTRAL GREECE;;;21-03253157;;;;;;;;;;;15;;25;;;;;;Jan-Dec;;;;30kms;;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
